"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",257.559505420588,0.888278971829673,0.201948869030367,4.39853402544237,1.08984542086132e-05,0.000115281711164979
"ENSG00000000419",1110.18467193361,-0.00297023834782286,0.12840371443323,-0.0231320282355802,0.981544957679129,0.991507366546954
"ENSG00000000457",264.313392147721,0.39379116905758,0.19293741675276,2.04103058745834,0.041247786885137,0.121213316957399
"ENSG00000000460",169.022304299436,-0.138963227551357,0.248007602521755,-0.560318418219326,0.575262266679189,0.74525526587263
"ENSG00000001036",146.122361053146,-0.842166237326246,0.248853322941328,-3.38418722873475,0.00071389303844121,0.00430967466302948
"ENSG00000001084",612.415581959197,0.788389401700563,0.165656223216208,4.75918976295619,1.94371631154917e-06,2.46578208705964e-05
"ENSG00000001167",2742.47956036225,0.431645903009233,0.11695686215336,3.6906419603087,0.000223688808724333,0.00162284744275479
"ENSG00000001460",188.109888770565,-0.604200260484989,0.223607693684321,-2.70205488250315,0.00689123863110252,0.0289435235954024
"ENSG00000001461",1059.01395879369,-0.332373866207818,0.127536006413469,-2.60611787647066,0.00915749404680578,0.0364639915471174
"ENSG00000001497",1388.3396454851,-0.323504353970159,0.123543631783258,-2.61854333809537,0.00883060738311052,0.0353970986647425
"ENSG00000001561",685.804578611668,0.259185864220102,0.14704085685753,1.76267922915622,0.0779546058807036,0.194228806408713
"ENSG00000001617",523.660637413591,0.595833614297804,0.162969178146304,3.65611228500459,0.000256069226552347,0.00181893968734778
"ENSG00000001626",4.04187195319455,-1.48126876047015,1.39397574403791,-1.06262161791953,0.287953579401881,NA
"ENSG00000001629",1317.09310474339,0.120802246743819,0.126999376941405,0.951203459837086,0.341501102449655,0.543157412990295
"ENSG00000001630",80.8599840483011,-0.237163222371644,0.320893359048717,-0.739071768498763,0.459863418712831,0.651527654644265
"ENSG00000001631",362.830579625685,0.0455978541442827,0.181373378795289,0.251403234847093,0.801502366960375,0.895396194630957
"ENSG00000002016",299.371955005951,-0.201211566122413,0.188991164465069,-1.06466123266627,0.28702925938649,0.485907816801825
"ENSG00000002330",159.085779954095,-0.2403833154145,0.304792881902667,-0.788677589561506,0.430300469346119,0.625974822507745
"ENSG00000002549",1670.59982466014,-0.816119426899503,0.118733409250455,-6.87354496136797,6.26257583995942e-12,1.96198332488746e-10
"ENSG00000002586",4399.23523216712,0.278186279847234,0.107278341095051,2.59312622667008,0.00951078566942394,0.0376748272025991
"ENSG00000002587",99.9956675441567,-1.86914838184804,0.316088811657472,-5.91336457638853,3.35189129063584e-09,7.19677827288606e-08
"ENSG00000002726",4.70775367330741,0.826891475155336,1.24124796244126,0.66617750858501,0.505297647191475,NA
"ENSG00000002746",0.953780704304149,0.785039871936778,2.87911933265183,0.272666666863618,0.785109460064139,NA
"ENSG00000002834",2182.70959242054,0.0321188396624361,0.113691442515365,0.282508858642508,0.777553354902506,0.881725326011843
"ENSG00000002919",196.384806887765,-0.295894510575016,0.230562146995787,-1.28336118669308,0.199365565310825,0.379477102019146
"ENSG00000003056",1186.83928859685,-0.0202123411406878,0.12455993501667,-0.162270003897985,0.871093235012409,0.935357844654596
"ENSG00000003096",59.7819758045257,-0.921271425804845,0.383276951254268,-2.40367030365379,0.0162314046729081,0.057796505984931
"ENSG00000003137",25.6717578625664,1.12454558094576,0.559153006499893,2.01115896342047,0.0443086687496873,0.128179919520936
"ENSG00000003147",1424.4746249519,-0.0784925502389144,0.122157143791534,-0.642553908864023,0.520513598583852,0.702030517723791
"ENSG00000003249",1012.86700820365,0.304279413596124,0.146284875413224,2.0800469818674,0.0375212238024185,0.112372546947769
"ENSG00000003393",1025.71919740119,0.301807083059864,0.137309761207073,2.19800165994548,0.0279489876475852,0.0896816999436408
"ENSG00000003400",30.267819804352,-0.452442099004593,0.501750462973424,-0.901727317446554,0.367201737900016,0.567718424234829
"ENSG00000003402",1344.0938382933,0.135542626671963,0.133472460635982,1.01551006122249,0.309862752994933,0.51134734632198
"ENSG00000003436",3695.70737025837,1.04532698669161,0.118115445214236,8.85004484210865,8.7484137907321e-19,5.16701396807371e-17
"ENSG00000003509",472.354295447406,-0.0392445042771654,0.15795109245278,-0.248459847081449,0.803778633550838,0.89699345216112
"ENSG00000003756",1740.76492245619,0.271470344708665,0.120727360221914,2.24862321357532,0.0245364782344112,0.0810666426785839
"ENSG00000003987",19.5385833921523,1.1416096952619,0.637841289118843,1.789802125916,0.0734857273123284,0.186027528359231
"ENSG00000003989",366.218664882107,0.580849454857868,0.175846402615582,3.30316370547348,0.000956005599877898,0.00553923604895479
"ENSG00000004059",1540.21013784017,0.0680604664453291,0.152025833185637,0.447690139360864,0.654376839082604,0.80469276942003
"ENSG00000004139",242.100595683975,-0.460687576323491,0.198859093877139,-2.31665330129743,0.0205226253418293,0.0700472371578688
"ENSG00000004142",2699.02112543741,-0.407590046823685,0.115833979826917,-3.51874335521166,0.000433595941218166,0.00284857669040993
"ENSG00000004399",87.7121636774638,1.6553677199815,0.318178176831737,5.20264380311952,1.96473221666518e-07,3.00702516151287e-06
"ENSG00000004455",4252.62461146538,-0.0359987734725497,0.113419900971359,-0.31739380094892,0.750944810372955,0.866262188543789
"ENSG00000004478",5386.42207120465,-0.459966344176367,0.111774599021804,-4.11512408187339,3.86971188977238e-05,0.0003510019636574
"ENSG00000004487",2302.61275798567,0.48955102277671,0.117871550755204,4.15325852285943,3.27774076346506e-05,0.000305617091682503
"ENSG00000004534",3386.64769965046,0.70209797901093,0.108685425670153,6.45990917992733,1.04765837326918e-10,2.77945772254359e-09
"ENSG00000004660",312.910791860993,-0.118053531524685,0.189136323410851,-0.624171652465951,0.53251486144939,0.711309707411339
"ENSG00000004700",764.280933638454,-0.0711565830092129,0.151484430966235,-0.469728687993511,0.638548868961622,0.793516785697755
"ENSG00000004766",473.56451741738,-0.412976280039639,0.179601986031733,-2.29939706772882,0.0214824023072345,0.0726321312241971
"ENSG00000004776",13.9832929064561,0.426594730348788,0.726793951893279,0.58695415562763,0.557234496718493,0.730250416403822
"ENSG00000004777",501.480019601159,0.718996402261953,0.169857621830943,4.2329357641517,2.30660402667088e-05,0.000224814345579367
"ENSG00000004779",1520.62194516014,-0.348999352032739,0.132490093786474,-2.63415431341757,0.00843471439302953,0.0341138179335505
"ENSG00000004799",0.376469300906964,-2.97941815421724,4.62055608160035,-0.644818091502378,0.519045076490221,NA
"ENSG00000004809",5.30443193002988,-0.519912988573928,1.16318593105995,-0.446973243650017,0.654894378756657,NA
"ENSG00000004838",38.0552105459298,-0.0809774683341597,0.455843664634762,-0.177643070676526,0.859003296966347,0.92962574656685
"ENSG00000004846",13.5369136679507,-1.70697408593116,0.77796111259674,-2.19416376768948,0.0282236383050865,0.0903377079651435
"ENSG00000004848",25.2011675168094,-0.465921195452544,0.557585375432127,-0.835605121621879,0.403377086529987,0.60260022797142
"ENSG00000004864",816.210754384697,-0.197015392602594,0.146789192069344,-1.34216552203328,0.179542332864683,0.352170479489407
"ENSG00000004866",2691.40714313671,0.474559516909342,0.125041497235779,3.79521620742041,0.000147514846881598,0.0011331908109702
"ENSG00000004897",3394.28522869848,0.080682505907163,0.127697943196103,0.631823065335207,0.527502500015046,0.707552497041775
"ENSG00000004961",531.124310296625,0.342755358038659,0.151971515786,2.25539211256742,0.0241087273906917,0.0798629303449652
"ENSG00000004975",1074.38635345233,0.600088947613081,0.129414464662438,4.63695421665838,3.53580690693924e-06,4.24061422247693e-05
"ENSG00000005007",1875.64637895339,0.374538744049164,0.115517860345977,3.24225832202413,0.0011858648003033,0.00665903008499491
"ENSG00000005020",1358.36949108997,0.209075821473689,0.12455446145183,1.67858958271476,0.0932320581975676,0.221450724732461
"ENSG00000005022",3519.12116103499,-0.153389058229706,0.107885099865258,-1.42178167718507,0.155089640341495,0.318198722222288
"ENSG00000005059",15.7201957225265,-0.688848529009965,0.692151062560833,-0.995228594262863,0.319625097629552,0.521769506905188
