"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000000003",335.404953784971,333.186165289397,196.654507788323,164.992394819661,1338.49189949036,1173.6171730973,1040.26975239437,1078.06094105135
"ENSG00000000419",1107.83589867718,1109.97764471229,1157.4216262201,1065.50351812486,2494.97923474407,2449.74909926636,2207.61791204145,1955.1651052435
"ENSG00000000457",307.639643041182,292.683071390252,232.020168589492,224.910685569959,111.225011477952,91.9097786160538,85.7040421006722,92.1514501619592
"ENSG00000000460",152.70920909084,168.762891246438,203.08462793399,151.532488926478,492.929028140925,547.92368021109,558.553929552657,486.29319483058
"ENSG00000001036",98.8445062478889,110.419148844098,178.971677387738,196.25411173286,1037.6788002659,989.797615865195,848.174485616997,812.709174922339
"ENSG00000001084",707.460117751744,843.332276542916,490.296661107126,408.573272435002,1016.19215032129,887.282862793442,916.14665693822,1002.56336742469
"ENSG00000001167",3231.88217057704,3067.1450034817,2473.45288269999,2197.43818469027,2920.92047188122,2569.93880976427,2024.38858065381,2059.529398198
"ENSG00000001460",158.817577454473,139.832109889906,231.48432524402,222.305542493859,404.454587192554,420.663986742708,384.190533554737,434.111048353326
"ENSG00000001461",917.921173189665,957.126683211943,1173.49692658427,1187.51105218887,1011.13646798138,912.027803190072,957.521022090269,959.263288432925
"ENSG00000001497",1282.75735636305,1184.23331686072,1515.90082434105,1570.46708437556,538.430169200087,533.783714270158,679.721713212228,676.14738733293
"ENSG00000001561",749.663390082304,744.485440241431,665.517435076558,583.552049046379,2153.72067680035,1979.59523173039,1516.07495164293,1693.14411442154
"ENSG00000001617",684.692562941837,576.204728684268,405.633412522507,428.111845505752,341.258557943717,328.754208126654,469.89457565541,447.434149581561
"ENSG00000001626",3.33183728925468,0.964359378551076,5.35843345472269,6.51285769024977,8.84744409483711,3.53499148523284,2.9553117965749,4.44103374274502
"ENSG00000001629",1368.8298196688,1375.17647381383,1334.24993022595,1190.11619526497,1638.04107812984,1456.41649191593,1365.35405001761,1395.59485365762
"ENSG00000001630",68.302664429721,80.0418284197393,92.1650554212302,82.9303879225137,127.65597908265,102.514753071752,121.167783659571,112.136102004312
"ENSG00000001631",362.614958313885,374.171438877818,390.629798849284,323.906122461755,321.03582858409,318.149233670955,283.709932471191,324.195463220387
"ENSG00000002016",259.328002346989,297.504868283007,328.471970774501,312.182978619306,200.9633730113,152.004633865012,206.871825760243,208.728585909016
"ENSG00000002330",137.715941289194,154.297500568172,116.813849312955,227.515828646059,218.658261200974,250.984395451531,316.218362233515,219.831170265879
"ENSG00000002549",1206.1250987102,1214.61063728508,2060.31766334087,2201.34589930442,955.523962242408,862.537922396812,984.118828259443,1068.06861513018
"ENSG00000002586",4706.77547728712,4937.52001818151,3854.32118398203,4098.32424921784,4991.22239007311,5143.41261101378,3466.58073738236,3392.9497794572
"ENSG00000002587",41.6479661156835,44.3605314133495,130.745776295234,183.22839635236,72.0434733436736,60.0948552489582,47.2849887451985,46.6308542988227
"ENSG00000002726",7.21898079338515,4.82179689275538,3.75090341830588,3.03933358878323,1.26392058497673,0,0,0
"ENSG00000002746",0,2.41089844637769,0.535843345472269,0.868381025366636,21.4866499446044,28.2799318818627,26.5978061691741,48.8513711701952
"ENSG00000002834",2229.55445272626,2184.27399241819,2221.60651032803,2095.40341420969,8247.08181697317,7964.33581622958,7609.92787618038,7523.11116021007
"ENSG00000002919",186.582888198262,166.351992800061,190.760230988128,241.844115564608,529.58272510525,498.43379941783,481.715822841709,477.41112734509
"ENSG00000003056",1190.57652469367,1166.39266835753,1218.50776760394,1171.88019373228,3311.47193263903,3464.29165552818,3700.05036931178,3258.60850873916
"ENSG00000003096",38.3161288264289,44.3605314133495,64.8370448021445,91.6141981761801,348.842081453578,300.474276244791,351.682103792413,309.762103556465
"ENSG00000003137",28.8759231735406,41.4674532776963,17.1469870551126,15.1966679439161,777.311159760689,643.368450312376,555.598617756082,521.82146477254
"ENSG00000003147",1436.57717788364,1335.15555960397,1447.3128761206,1478.85288619938,37.9176175493019,63.6298467341911,41.3743651520487,66.6155061411753
"ENSG00000003249",1131.15875970196,1108.04892595519,805.37254824482,1006.88779891261,666.086148282737,501.968790903063,531.956123383483,474.080352038031
"ENSG00000003393",1168.91958231352,1095.9944337233,984.344225632558,853.618547935403,1003.55294447152,915.562794675305,892.504162565621,1088.05326697253
"ENSG00000003400",25.5440858842859,25.5555235316035,36.9731908375865,32.9984789639322,1.26392058497673,10.6049744556985,11.8212471862996,5.55129217843128
"ENSG00000003402",1386.04431232995,1427.73405994487,1391.58516819148,1171.01181270691,959.315723997339,876.677888337744,854.085109210147,882.655456370573
